tag,contam,n_clusters,elsa_d50,elsa_d100
shuffle62,0,23,0.0759710225946093,0.0635991580721765
shuffle63,0,22,0.0701558671584141,0.0586237176366741
shuffle64,0,23,0.0574401236811045,0.0477364371891453
shuffle65,0,21,0.0730130097629668,0.0591385660183761
shuffle66,0,24,0.0614086993125905,0.050979000000086
shuffle67,0,19,0.064632085487728,0.0530196693646129
shuffle68,0,21,0.0586213121792261,0.0483353514499187
shuffle69,0,23,0.0739485886477552,0.0620776576101623
shuffle70,0,21,0.0622105109271427,0.0517132080282725
shuffle71,0,22,0.0653745948359198,0.0536166021403035
shuffle72,0,25,0.0634542041234685,0.0530693396809692
shuffle73,0,24,0.0719782333112121,0.059842136063928
shuffle74,0,23,0.0749520690255661,0.062352415315651
shuffle75,0,22,0.0743170804098844,0.0613877828076264
shuffle76,0,23,0.0691278840517771,0.0566156354511963
shuffle77,0,23,0.0667754185105035,0.0549324563701353
shuffle78,0,22,0.0686216054254895,0.0572502353441153
shuffle79,0,21,0.0727254936349494,0.0606773642595378
shuffle80,0,25,0.0653039554982366,0.0544660083750113
shuffle81,0,22,0.0621772548486149,0.050848797430891
shuffle82,0,23,0.0668567036389654,0.0555739569589529
shuffle83,0,21,0.0665603529021661,0.0556796635319866
shuffle84,0,25,0.0693741275527039,0.0579404617396219
shuffle85,0,19,0.0541860237955338,0.0451438045661298
shuffle86,0,22,0.0615754464835669,0.0508535474046657
shuffle87,0,24,0.0605183606562748,0.0501396172100028
shuffle88,0,21,0.0676109475877516,0.0554743748089098
shuffle89,0,22,0.0646315953050997,0.0540218526225015
shuffle90,0,24,0.067499505108964,0.0553473392445989
shuffle91,0,23,0.0650752089821057,0.0529787064901127
shuffle92,0,22,0.0647754450302969,0.0533521285028481
shuffle93,0,22,0.0735141767962837,0.0610996415197961
shuffle94,0,25,0.0681250974345521,0.0565013512543495
shuffle95,0,21,0.0519720019429179,0.0430846070589355
shuffle96,0,20,0.0676303190201187,0.0546766686895613
shuffle97,0,23,0.0622732494170401,0.0522504011218493
shuffle98,0,22,0.0612391638356372,0.0506170260427691
shuffle99,0,21,0.0608334925377234,0.0505748507921218
