"mechanism","dominance","r2_dominant_parent","R2_linear_both","gain"
"ANGPTL3-ITGB3",0.7315,0.213657513639348,0.295080495237436,0.0814229815980879
"ANGPTL4-TIE1",0.668923076923077,0.308056401425794,0.467571670949819,0.159515269524025
"ANXA1-DYSF",0.746384615384615,0.31279435924359,0.323055985040508,0.0102616257969177
"ANXA1-EGFR",0.613230769230769,0.273957849030884,0.31184391929451,0.0378860702636264
"APLN-APLNR",0.886692307692308,0.40028024683375,0.490269102637919,0.0899888558041683
"APOB-CALCR",0.631423076923077,0.0152328148060812,0.317084728563736,0.301851913757655
"APOB-ITGAM",0.515346153846154,0.0535472700429235,0.139949974366136,0.0864027043232122
"APOB-ITGB2",0.610346153846154,0.162281846167967,0.312796845605693,0.150514999437726
"APOB-LDLR",0.852807692307692,0.529039028579921,0.537094054182914,0.00805502560299276
"APOB-LRP2",0.577115384615385,0.0278245469442008,0.0933655067371644,0.0655409597929636
"APOB-LRP6",0.880538461538461,0.649418547668406,0.649880504824298,0.000461957155892034
"APOB-LRP8",0.754615384615385,0.188187394931901,0.188315984907802,0.000128589975901455
"APOB-LSR",0.796923076923077,0.303497133746866,0.319823810880255,0.0163266771333888
"APOD-LEPR",0.804538461538462,0.534092176105916,0.665775269661493,0.131683093555577
"APOE-CHRNA4",0.996423076923077,0.846349882287696,0.846372491133063,2.26088453666451e-05
"APOE-LDLR",0.993730769230769,0.89161900063589,0.891690713368839,7.17127329487033e-05
"APOE-LRP1",0.878076923076923,0.833184869984736,0.841281285897663,0.00809641591292687
"APOE-LRP2",0.999230769230769,0.950225936151835,0.950282975918667,5.70397668315792e-05
"APOE-LRP5",0.994730769230769,0.928955883727139,0.929099340947936,0.000143457220796783
"APOE-LRP8",0.997307692307692,0.981528726907617,0.981532100842006,3.3739343894279e-06
"APOE-SCARB1",0.992153846153846,0.816376554250547,0.816687978888942,0.000311424638395286
"APOE-SORL1",0.993153846153846,0.850611996008897,0.850705186596798,9.31905879008044e-05
"APOE-VLDLR",0.991576923076923,0.896930055491818,0.897053820713849,0.000123765222030614
"APP-CAV1",0.660692307692308,0.476241951927902,0.566722377190349,0.090480425262447
"APP-CD74",0.956846153846154,0.205149686777077,0.205860535920215,0.000710849143138265
"APP-GPC1",0.827538461538462,0.722092400578746,0.771669658197597,0.0495772576188506
"APP-LRP1",0.578692307692308,0.691225785849795,0.820586234648822,0.129360448799027
"APP-NCSTN",0.956692307692308,0.784310925767272,0.797914177187319,0.0136032514200466
"APP-NGFR",0.989461538461539,0.921262153903636,0.922814534565962,0.00155238066232599
"APP-TNFRSF21",0.949461538461538,0.83905884213993,0.853871689216085,0.0148128470761553
"ARTN-GFRA1",1,1,1,0
"ARTN-RET",0.999923076923077,0.999999848865568,0.999999848867367,1.79922743370753e-12
"B2M-CD247",0.641076923076923,0.741808032281784,0.827179107688875,0.0853710754070912
"B2M-CD3D",0.977192307692308,0.800668366254003,0.812319407483935,0.011651041229932
"B2M-HFE",0.998076923076923,0.862132328439503,0.863322605995424,0.0011902775559206
"B2M-TFRC",0.822692307692308,0.51337447675395,0.5317394124132,0.0183649356592497
"BCAN-EGFR",0.823,0.198356935935958,0.216321566469613,0.017964630533655
"BCAN-NRCAM",0.800153846153846,0.531446977622438,0.729214453835713,0.197767476213275
"BGN-LY96",0.998115384615385,0.909093818984297,0.90919299346491,9.91744806134731e-05
"BGN-TLR1",1,1,1,0
"BGN-TLR2",0.999384615384615,0.920974540799751,0.921129131356945,0.000154590557193801
"BGN-TLR4",0.998653846153846,0.951453941428576,0.951544967777091,9.10263485153218e-05
"BMP2-ACVR1",0.940846153846154,0.420001737030642,0.445862925029019,0.025861187998377
"BMP2-ACVR2A",0.953576923076923,0.392003885242577,0.401676490159551,0.0096726049169738
"BMP2-ACVR2B",0.640192307692308,0.0861541766547533,0.13968676448069,0.053532587825937
"BMP2-BMPR1A",0.988692307692308,0.730775406251874,0.735481682365107,0.00470627611323282
"BMP2-BMPR1B",0.883730769230769,0.26267363013823,0.289200821246308,0.0265271911080779
"BMP2-BMPR2",0.984807692307692,0.63544319370908,0.640975179300007,0.0055319855909276
"BMP2-ENG",0.926576923076923,0.342002671495896,0.36421373119431,0.022211059698414
"BMP2-HFE2",0.808,0.242885090522244,0.273155992591087,0.0302709020688432
"BMP3-ACVR1",0.895807692307692,0.398174248830121,0.445655309219304,0.0474810603891833
"BMP3-ACVR2A",0.920884615384615,0.466751910212271,0.48217293484341,0.0154210246311388
"BMP3-ACVR2B",0.580423076923077,0.0855031578167332,0.163458725928818,0.0779555681120844
"BMP3-BMPR1A",0.981615384615385,0.764701384630556,0.772325032713485,0.0076236480829287
"BMP3-BMPR1B",0.833730769230769,0.305172238502161,0.361808472429485,0.0566362339273241
"BMP3-BMPR2",0.974923076923077,0.688720914460821,0.700601259857195,0.0118803453963745
"BMP4-ACVR1",0.730769230769231,0.296850672728459,0.425042488847388,0.128191816118929
"BMP4-ACVR2A",0.793192307692308,0.365360184358121,0.40686230546076,0.0415021211026393
"BMP4-ACVR2B",0.849653846153846,0.253843574243214,0.303991260572035,0.0501476863288201
"BMP4-BMPR1A",0.944423076923077,0.635061167438606,0.668989374955784,0.0339282075171784
"BMP4-BMPR1B",0.5605,0.192970452011577,0.308551621994982,0.115581169983404
"BMP4-BMPR2",0.923384615384615,0.612783341555069,0.642422561351206,0.0296392197961372
"BMP4-HFE2",0.501153846153846,0.0916614697905263,0.261930428002691,0.170268958212165
"BMP5-ACVR1",0.760038461538462,0.284286646983953,0.403923130094373,0.11963648311042
"BMP5-ACVR2A",0.809730769230769,0.320678012305962,0.363258417442401,0.0425804051364388
"BMP5-ACVR2B",0.728384615384615,0.205429042439901,0.243434535984444,0.0380054935445433
"BMP5-BMPR1A",0.936653846153846,0.570766935599372,0.610052329124472,0.0392853935251004
"BMP5-BMPR1B",0.637769230769231,0.238356118144653,0.373550167849046,0.135194049704393
"BMP5-BMPR2",0.919730769230769,0.558404587905867,0.597177583832539,0.0387729959266718
"BMP5-HFE2",0.577576923076923,0.119715480544194,0.222460617765189,0.102745137220995
"BMP6-ACVR1",0.913269230769231,0.184783994665551,0.244693031989678,0.0599090373241269
"BMP6-ACVR2A",0.929153846153846,0.253062042805868,0.266027247495921,0.0129652046900527
"BMP6-ACVR2B",0.692230769230769,0.0619825406259143,0.142342642744037,0.080360102118123
"BMP6-BMPR1A",0.976115384615385,0.465927404925687,0.480953438100114,0.0150260331744274
"BMP6-BMPR1B",0.862,0.129490095786946,0.165758365394066,0.0362682696071205
"BMP6-BMPR2",0.969692307692308,0.437409843134755,0.452397412057015,0.0149875689222608
"BMP7-ACVR1",0.677807692307692,0.233272628716727,0.388885447031672,0.155612818314945
"BMP7-ACVR2A",0.7595,0.313282367224966,0.369924859912979,0.0566424926880133
"BMP7-ACVR2B",0.878846153846154,0.283558403895682,0.31505848915589,0.0315000852602073
"BMP7-BMPR1A",0.928192307692308,0.561304053206742,0.593688646880579,0.0323845936738373
"BMP7-BMPR1B",0.537307692307692,0.0875332246013682,0.185355242755915,0.0978220181545465
"BMP7-BMPR2",0.911230769230769,0.53134624527411,0.562648572221652,0.0313023269475416
"BMP7-ENG",0.6265,0.220659118388531,0.358968149688726,0.138309031300196
"BMP8B-ACVR1",0.980615384615385,0.343387747653663,0.349583063629931,0.00619531597626866
"BMP8B-ACVR2A",0.993730769230769,0.61538005679742,0.627450494189631,0.0120704373922108
"BMP8B-ACVR2B",0.916230769230769,0.130731875382627,0.162781550843084,0.0320496754604573
"BMP8B-BMPR1A",0.996076923076923,0.593459988139765,0.595672223486663,0.00221223534689807
"BMP8B-BMPR1B",0.965307692307692,0.337235845471994,0.34971301071678,0.0124771652447851
"BMP8B-BMPR2",0.997307692307692,0.671881020850268,0.676352950702312,0.00447192985204414
"BTC-EGFR",0.999269230769231,0.888374510274648,0.888447648085069,7.31378104209535e-05
"BTC-ERBB2",0.999192307692308,0.757361183943004,0.758049627014766,0.000688443071761968
"BTC-ERBB3",0.996884615384615,0.574849375562873,0.579110216366294,0.0042608408034206
"BTC-ERBB4",0.998692307692308,0.70801016122081,0.708388428437687,0.000378267216876838
"C1QA-CD93",0.562961538461539,0.121938898059365,0.238270865772265,0.1163319677129
"C1QA-CSPG4",0.612653846153846,0.112985823038895,0.16755040960256,0.0545645865636642
"C1QB-LRP1",0.955692307692308,0.427890624649493,0.490351514079798,0.0624608894303048
"C3-C3AR1",0.938153846153846,0.236904195129756,0.23741129273108,0.000507097601323614
"C3-CD46",0.955653846153846,0.340275671841515,0.345545641553705,0.0052699697121899
"C3-CD81",0.861692307692308,0.651072764225067,0.651879573770256,0.000806809545189302
"C3-IFITM1",0.548730769230769,0.0473284550475126,0.0781500773138681,0.0308216222663555
"C3-ITGAM",0.981576923076923,0.315871141072583,0.319125149133763,0.00325400806117943
