"mechanism","ligand","receptor","frac_from_ligand","dominance","dominant","r_dominant","r_other","max_r_any_input_gene","nearest_gene"
"SLIT1-SDC1","Slit1","Sdc1",0.862692307692308,0.862692307692308,"ligand",0.563956412910066,0.122623501599802,0.563956412910067,"Slit1"
"SLIT2-DCC","Slit2","Dcc",0.238038461538462,0.761961538461538,"receptor",0.683485335847518,0.531612053279686,0.683485335847519,"Dcc"
"SLIT2-GPC1","Slit2","Gpc1",0.653730769230769,0.653730769230769,"ligand",0.436033790774315,0.501081145247982,0.531140829636805,"Nmbr"
"SLIT2-ROBO1","Slit2","Robo1",0.736615384615385,0.736615384615385,"ligand",0.654177028126095,0.562378758276679,0.654177028126095,"Slit2"
"SLIT2-ROBO2","Slit2","Robo2",0.664269230769231,0.664269230769231,"ligand",0.505187997253975,0.507682795529744,0.51593299108928,"Calm1"
"SLIT2-ROBO4","Slit2","Robo4",0.0377692307692308,0.962230769230769,"receptor",0.780010209383997,0.118523969440534,0.780010209383998,"Robo4"
"SLIT2-SDC1","Slit2","Sdc1",0.402461538461538,0.597538461538462,"receptor",0.548296910441046,0.299995718786739,0.548296910441041,"Sdc1"
"SLIT3-ROBO2","Slit3","Robo2",0.787846153846154,0.787846153846154,"ligand",0.637542972635121,0.288189033631746,0.637542972635127,"Slit3"
"SORBS1-INSR","Sorbs1","Insr",0.589653846153846,0.589653846153846,"ligand",0.510049164525524,0.573613720618548,0.573613720618548,"Insr"
"SORBS1-ITGA1","Sorbs1","Itga1",0.462730769230769,0.537269230769231,"receptor",0.540459746396575,0.41891579467475,0.540459746396574,"Itga1"
"SORBS1-ITGB5","Sorbs1","Itgb5",0.756192307692308,0.756192307692308,"ligand",0.570172227831312,0.331537706182445,0.570172227831312,"Sorbs1"
"SPINK1-EGFR","Spink1","Egfr",0.624961538461538,0.624961538461538,"ligand",0.137220635112581,0.190583628386596,0.257205352943646,"Agrp"
"SPINK1-NRSN1","Spink1","Nrsn1",0.172538461538462,0.827461538461538,"receptor",0.414181153495024,-0.150203835630451,0.486437641756541,"Tacr3"
"SPINT1-ST14","Spint1","St14",0.324538461538462,0.675461538461538,"receptor",0.560998921816914,0.659716147155584,0.659716147155585,"Spint1"
"SPON2-ITGAM","Spon2","Itgam",0.0386923076923077,0.961307692307692,"receptor",0.581098012268249,0.0635463876652709,0.581098012268248,"Itgam"
"SPON2-ITGB2","Spon2","Itgb2",0.0178461538461538,0.982153846153846,"receptor",0.92326628595187,0.0264669570205153,0.92326628595187,"Itgb2"
"SPP1-CD44","Spp1","Cd44",0.999923076923077,0.999923076923077,"ligand",0.927549686712021,0.0563141274551566,0.92754968671202,"Spp1"
"SPP1-ITGA4","Spp1","Itga4",0.887192307692308,0.887192307692308,"ligand",0.279711112260276,0.138192802442763,0.330261888460634,"Agrp"
"SPP1-ITGA5","Spp1","Itga5",0.778153846153846,0.778153846153846,"ligand",0.215612573676187,0.297649139156491,0.438719128126313,"Cxcr5"
"SPP1-ITGA9","Spp1","Itga9",0.982730769230769,0.982730769230769,"ligand",0.368601410929573,0.16127553338861,0.368601410929571,"Spp1"
"SPP1-ITGAV","Spp1","Itgav",0.961807692307692,0.961807692307692,"ligand",0.414479811738224,0.216656683032015,0.414479811738224,"Spp1"
"SPP1-ITGB1","Spp1","Itgb1",0.995692307692308,0.995692307692308,"ligand",0.492871048092376,0.149010187156831,0.492871048092381,"Spp1"
"SPP1-S1PR1","Spp1","S1pr1",0.779384615384615,0.779384615384615,"ligand",0.155872891826414,0.246247913325168,0.502514727026478,"Gucy2c"
"SST-SSTR2","Sst","Sstr2",0.0394230769230769,0.960576923076923,"receptor",0.677159657771067,0.279345035941246,0.677159657771069,"Sstr2"
"SYTL3-NRXN1","Sytl3","Nrxn1",0.993423076923077,0.993423076923077,"ligand",0.964786237810867,-0.0114813698150997,0.964786237810877,"Sytl3"
"TAC1-TACR1","Tac1","Tacr1",0.0690384615384615,0.930961538461539,"receptor",0.719348541449256,0.361826829033368,0.719348541449257,"Tacr1"
"TAC1-TACR3","Tac1","Tacr3",0.840038461538462,0.840038461538462,"ligand",0.596885183652084,0.788244257772834,0.834660425332477,"Gpr162"
