"mechanism","rho_true","rho_null","spearman_true","spearman_null"
"BMP6-ACVR2A",0.00970682639850792,0.104457812285242,0.336364203129578,0.301659985505187
"BMP6-ACVR2B",0.0156449002768475,0.130615907887484,0.351293994118892,0.369653764102583
"BMP6-BMPR1A",0.0772951742443264,0.0468784311271764,0.415934083329443,0.326969564597474
"BMP6-BMPR1B",0.0146866962743868,-0.00196559319561362,0.316317917359824,0.149258103748561
"BMP6-BMPR2",0.0668012507672203,0.105981444060313,0.379036003396389,0.378096985611432
"BMP7-ACVR1",0.107603633171856,0.0455701323482093,0.357471761732719,0.335830323534342
"BMP7-ACVR2A",0.0487582585726758,0.00761455744519319,0.342729831087106,0.280003319696637
"BMP7-ACVR2B",0.0384836620613517,0.0430806308552321,0.377120219865562,0.343355585764409
"BMP7-BMPR1A",0.134213827523459,-0.0167031193410782,0.411521502515223,-0.0220586709488806
"BMP7-BMPR1B",-0.00653719861260116,0.0326675360103908,0.23522781496472,0.145525844126973
"BMP7-BMPR2",0.114468414531697,0.0607543804585533,0.39449848848731,0.295910518031047
"BMP7-ENG",0.0813422769933877,0.0692561404908075,0.349768283143035,0.12645706184023
"BMP8B-ACVR1",0.0222601402310056,0.139946399535805,0.485817698947841,0.561731968375116
"BMP8B-ACVR2A",0.107865509947513,0.0633780860424423,0.621590048045365,0.47990624698962
"BMP8B-ACVR2B",0.0286424112976762,0.0242761838608478,0.61515755832306,0.413688944053932
"BMP8B-BMPR1A",0.0338067372302007,0.119479163222356,0.527860747646585,0.588705031436865
"BMP8B-BMPR1B",0.0427464492105281,0.0151342779009305,0.39359395417168,0.401667072818807
"BMP8B-BMPR2",0.0864276682664807,0.0667024406723323,0.579267208431779,0.51642628056754
"BTC-EGFR",0.0304506674721101,0.0466896653640501,0.413567442468409,0.500951834516201
"BTC-ERBB2",0.0526189976184474,0.0571154711836286,0.546805035029866,0.555863945210313
"BTC-ERBB3",0.0630424605708173,0.039750325833299,0.547628371553615,0.50555454651641
"BTC-ERBB4",0.0239781879871362,0.0279970826943837,0.393048269962862,0.312993643231101
"C1QA-CD93",0.0426759313039372,-0.00483354136219202,0.283920747325782,0.218562392349717
"C1QA-CSPG4",-0.00607523016642278,0.0297934477926286,0.130752764262151,0.279503376484472
"C1QB-LRP1",0.181069421630962,0.0922690445874166,0.389216061950593,0.331160613235217
"C3-C3AR1",-0.0513041759593375,-0.0848596933715128,-0.0567896472958882,-0.106605099985875
"C3-CD46",-0.072766563108147,-0.0684432744554626,-0.0898850664706993,-0.107744467677137
"C3-CD81",-0.367482148843718,-0.104584682750328,-0.270790592433122,-0.0555949856063649
"C3-IFITM1",-0.0912123577309227,-0.0560089206098107,-0.0309413438507325,-0.0246918602911919
"C3-ITGAM",0.0107671720190396,-0.119091982937244,0.0557183844153777,-0.00621778377956659
"C3-ITGB2",0.0883338987758816,-0.0425084442066682,0.317964961292392,-0.0187672812334973
"C3-LRP1",-0.261607377275758,-0.11077154561145,-0.296471623156137,-0.140673671453659
"C4B-CD46",-0.0479765233848301,-0.114621640045965,-0.221250770036898,-0.18557281383255
"CALCA-CALCR",0.0852978531365469,0.0210602027878698,0.61483601831166,0.410080682667165
"CALCA-CALCRL",0.0134257148390901,0.0115022377786522,0.367648515143085,0.426582721666087
"CALCA-RAMP1",0.0267884645175657,0.00726165299113525,0.333150684766609,0.249935862081607
"CALCA-RAMP2",0.0474723155345165,0.0555464832672121,0.42956059273854,0.438024855889659
"CALM1-ABCA1",0.146963366982998,0.605962747696083,0.481423549486403,0.577468069248872
"CALM1-ADCY8",0.53374240797956,-0.303992545771964,0.639557180521193,-0.252873045848583
"CALM1-ADCYAP1R1",0.569426138815882,0.242979586560315,0.606122170740508,0.669228858327717
"CALM1-CACNA1C",0.0588440430301889,0.661781121534418,0.521913132448438,0.791094442578542
"CALM1-CALCR",0.546508446371689,0.0669202683296821,0.683436267521469,0.504599219699111
"CALM1-EGFR",0.0147713586537956,0.0155604719488452,0.375571269804782,0.287955622843357
"CALM1-FAS",0.0151889739463849,0.167896894075996,0.479424437984811,0.657908703222896
"CALM1-GLP2R",-0.288441713843084,0.53908408064678,-0.290960973336196,0.672119520372275
"CALM1-GRM3",0.472104260064106,0.00111598879646584,0.639416460896724,0.427171507381569
"CALM1-GRM4",0.778736420699071,0.252248144665258,0.647554442231248,0.677225764311781
"CALM1-GRM5",0.605415308498508,0.0409264844979315,0.516011402498879,0.456691576113222
"CALM1-GRM7",-0.0946981620723211,-0.0909360193778694,0.0267004553424108,0.172829808117067
"CALM1-HMMR",0.023015879763014,0.0136212127607066,0.285697435767645,0.318776223657953
"CALM1-HTR2C",0.25914650684218,0.224505357752845,0.655868796509364,0.655297123801646
"CALM1-INSR",0.174789518909332,0.0367884501256458,0.494964146122273,0.380059864955027
"CALM1-KCNN4",-0.227666729988469,0.641822866814441,-0.109353952740282,0.659438175676456
"CALM1-KCNQ1",-0.0106766275248153,0.148930538273562,0.386184327189622,0.61446976284207
"CALM1-KCNQ3",0.481640628658341,0.0260556837350659,0.5480489645069,0.329454721385174
"CALM1-KCNQ5",0.0795248100198898,0.0856206987523507,0.407003867154648,0.437741788757697
