"mechanism","ligand","receptor","matched_partner","dom_gap","dom_true","R2_true","switchcoh_true","dom_null","R2_null","switchcoh_null"
"COL7A1-ITGB1","Col7a1","Itgb1","Ephb3",0,1,1,1,1,1,1
"COL8A1-ITGA1","Col8a1","Itga1","Ptprz1",0.000615384615384573,0.657423076923077,0.374638747423362,0.881014128120766,0.656807692307692,0.169081386397187,0.901780530288368
"COL8A1-ITGA2","Col8a1","Itga2","Cdh7",0.0309230769230769,0.817846153846154,0.309944451668792,0.911167021482485,0.786923076923077,0.186821933429807,0.95895103541707
"COL9A1-MAG","Col9a1","Mag","Gpr135",0.00211538461538463,0.992115384615385,0.416685478667718,0.991581188310432,0.994230769230769,0.553248172024005,0.995297077607896
"COL9A2-MAG","Col9a2","Mag","Mst1r",0.000923076923076915,0.995038461538462,0.605036908505741,0.994097155022257,0.995961538461538,0.895968536524544,0.996767950454809
"COL9A3-MAG","Col9a3","Mag","Mc4r",0.00315384615384606,0.994576923076923,0.584409747979201,0.994000387071802,0.991423076923077,0.566650832589496,0.992316624733888
"COLQ-MUSK","Colq","Musk","Nmbr",0.00769230769230778,0.725538461538461,0.610306371571854,0.931468937487904,0.733230769230769,0.374610885357328,0.94044900329011
"CP-SLC40A1","Cp","Slc40a1","Ephb3",0.00469230769230777,0.904307692307692,0.403838029912221,0.948712986258951,0.909,0.414975625303683,0.961525062899168
"CSF1-CSF1R","Csf1","Csf1r","Fgfrl1",0.00192307692307692,0.928730769230769,0.576961243347357,0.93381072188891,0.926807692307692,0.588802608789777,0.93903619121347
"CTF1-IL6ST","Ctf1","Il6st","Fgfrl1",0.0103846153846154,0.977192307692308,0.678188450418734,0.972730791561835,0.966807692307692,0.602520615150631,0.966479581962454
"CTF1-LIFR","Ctf1","Lifr","Ncstn",0.00176923076923075,0.957461538461538,0.569955662650739,0.955951228952971,0.959230769230769,0.520308104806422,0.957093090768337
"CTGF-ERBB4","Ctgf","Erbb4","Adcy7",0.000807692307692287,0.684884615384615,0.313508767352932,0.890207083413973,0.685692307692308,0.294866117147997,0.915598993613315
"CTGF-ITGA5","Ctgf","Itga5","Tacr3",0.0145769230769232,0.503730769230769,0.469086951890552,0.886336365395781,0.518307692307692,0.231883399490809,0.920650280627056
"CTGF-ITGAM","Ctgf","Itgam","Ptch2",0.000461538461538402,0.952461538461538,0.185906710036355,0.971066382814012,0.952923076923077,0.333035865379353,0.964911941165086
"CTGF-ITGB2","Ctgf","Itgb2","Fzd10",0.00230769230769234,0.952230769230769,0.612177556603348,0.988445906715696,0.949923076923077,0.423121451323702,0.971492161796013
"CTGF-LRP1","Ctgf","Lrp1","Trpc5",0.00534615384615378,0.936884615384615,0.733374725561847,0.959415521579253,0.942230769230769,0.120708431130995,0.967253725566092
"CTGF-LRP6","Ctgf","Lrp6","Alk",0.00853846153846149,0.855,0.622295087119167,0.922895297077608,0.846461538461538,0.18453562865959,0.944281014128121
"CTGF-NTRK1","Ctgf","Ntrk1","Calcr",0.000153846153846171,1,1,1,0.999846153846154,0.999998026871758,0.999729049738727
"CTHRC1-FZD3","Cthrc1","Fzd3","Ntrk3",0.00488461538461538,0.671076923076923,0.319109193912972,0.886936326688601,0.675961538461539,0.519533604508723,0.8865105477066
"CTHRC1-FZD5","Cthrc1","Fzd5","Slc18a2",0.001,0.974615384615385,0.388207076529379,0.97424037158893,0.975615384615385,0.538543850051157,0.973350106444746
"CTHRC1-FZD6","Cthrc1","Fzd6","Npr1",0.00423076923076926,0.957615384615385,0.638072965265859,0.959260692858525,0.953384615384615,0.71270537083424,0.959821946971163
"CUBN-LRP2","Cubn","Lrp2","St14",0.0341923076923077,0.840884615384615,0.0482399721731595,0.93621056706019,0.875076923076923,0.125881438726124,0.947900135475131
"CX3CL1-CX3CR1","Cx3cl1","Cx3cr1","Itga2b",0.00134615384615377,0.807346153846154,0.256454793008436,0.936152506289917,0.806,0.221355733590266,0.93179794851945
"CXCL12-ACKR3","Cxcl12","Ackr3","Marco",0.000499999999999945,0.950230769230769,0.782704678024998,0.95513837816915,0.949730769230769,0.907209483890749,0.987071801819237
"CXCL12-CCR4","Cxcl12","Ccr4","Tlr1",0,1,1,1,1,1,1
"CXCL12-CXCR4","Cxcl12","Cxcr4","Mchr1",0,1,1,1,1,1,1
"CXCL12-ITGB1","Cxcl12","Itgb1","Mylk",0.0116153846153847,0.823653846153846,0.716642519785606,0.909483259144571,0.812038461538461,0.402995616835133,0.926940197406619
"CXCL12-SDC4","Cxcl12","Sdc4","Pde1b",0.0122692307692308,0.893269230769231,0.476609148886027,0.927694987420166,0.881,0.351660279193774,0.983026901490226
"CXCL13-ACKR4","Cxcl13","Ackr4","Marco",0.00453846153846149,0.564384615384615,0.213743098045038,0.923166247338881,0.559846153846154,0.00944326214399305,0.947396942132766
"CXCL13-CXCR5","Cxcl13","Cxcr5","Gjb2",0.0223076923076924,0.689846153846154,0.330218957059795,0.937971743758467,0.667538461538462,0.045310092283265,0.939984517127927
"CXCL13-HTR2A","Cxcl13","Htr2a","F3",0.0161923076923077,0.603884615384615,0.0593477739032381,0.93259144571318,0.620076923076923,0.0862227995000588,0.931643119798723
"CYR61-CAV1","Cyr61","Cav1","F2rl3",0.00192307692307692,0.97,0.766373797236689,0.975691890845752,0.971923076923077,0.228218340165755,0.980975420940584
"CYR61-ITGA5","Cyr61","Itga5","Cd74",0.0145384615384615,0.728038461538462,0.434574897460012,0.894793884265531,0.7135,0.108657042639138,0.934759047803367
"CYR61-ITGAM","Cyr61","Itgam","Fas",0.00807692307692298,0.935076923076923,0.0963845369391114,0.961815366750532,0.943153846153846,0.2906367582136,0.961892781110896
"CYR61-ITGAV","Cyr61","Itgav","Cdh5",0.00992307692307692,0.931230769230769,0.608589692947269,0.946003483646216,0.921307692307692,0.547240629149042,0.949564544222953
"CYR61-ITGB2","Cyr61","Itgb2","Gpc1",0.015423076923077,0.949269230769231,0.467610641185806,0.987555641571512,0.964692307692308,0.67337166720153,0.967853686858912
"CYR61-ITGB3","Cyr61","Itgb3","Il1rapl1",0.0139230769230769,0.726461538461538,0.141729074402482,0.898354944842268,0.740384615384615,0.318034477253507,0.89516160247726
"CYR61-ITGB5","Cyr61","Itgb5","Tlr2",0.00138461538461532,0.952538461538462,0.672344392170667,0.958331720534159,0.953923076923077,0.27046766682893,0.967563383007548
"DCN-EGFR","Dcn","Egfr","Pecam1",0.00507692307692309,0.960461538461538,0.824097345420163,0.959880007741436,0.965538461538462,0.826983553921059,0.964544222953358
"DCN-ERBB4","Dcn","Erbb4","Ogfr",0.0191153846153846,0.836615384615385,0.292164425165552,0.92815947358235,0.8175,0.665575827162079,0.898142055351268
"DCN-MET","Dcn","Met","S1pr1",0.000923076923076915,0.986961538461538,0.830902896252494,0.982659183278498,0.987884615384615,0.8101915225918,0.986162183084962
"DHH-BOC","Dhh","Boc","Tgfbr2",0.001,0.995923076923077,0.3668752571851,0.995819624540352,0.996923076923077,0.422492783633689,0.9967873040449
